time,open,high,low,close,volume
2014-10-06,1187.27,1208.93,1182.77,1206.72,63091
2014-10-07,1206.28,1213.31,1202.81,1208.6,58484
2014-10-08,1209.04,1223.91,1204.79,1221.1,71493
2014-10-09,1219.81,1233.19,1218.62,1224.28,69176
2014-10-10,1223.82,1225.32,1217.2,1222.75,56374
2014-10-13,1227.15,1237.58,1224.9,1235.46,62288
2014-10-14,1235.97,1238.13,1230.81,1231.74,68773
2014-10-15,1232.34,1249.51,1221.7,1241.85,107837
2014-10-16,1239.82,1245.07,1235.28,1238.27,97876
2014-10-17,1238.1,1241.57,1231.53,1238.31,59385
2014-10-20,1237.21,1248.61,1234.54,1246.81,46916
2014-10-21,1246.72,1255.13,1245.22,1248.32,60820
2014-10-22,1248.82,1249.61,1239.73,1241.35,44683
2014-10-23,1241.5,1244.48,1226.14,1231.22,52644
2014-10-24,1232.01,1234.14,1228.54,1230.09,45530
2014-10-27,1228.38,1231.92,1224.42,1224.77,38134
2014-10-28,1226.17,1235.39,1222.38,1227.12,52668
2014-10-29,1228.17,1230.44,1208.2,1210.77,46141
2014-10-30,1210.76,1215.53,1195.78,1197.97,75379
2014-10-31,1200.1,1202.55,1161.42,1171.52,108601
2014-11-03,1167.31,1173.66,1161.49,1165.7,53361
2014-11-04,1165.19,1174.51,1163.75,1168.31,55361
2014-11-05,1168.75,1169.53,1137.58,1141.25,93902
2014-11-06,1142.05,1149.47,1137.96,1141.32,73976
2014-11-07,1140.6,1178.58,1131.44,1176.24,103963
2014-11-10,1174.45,1177.14,1147.18,1151.32,70330
2014-11-11,1151.19,1173.1,1145.95,1164.1,82043
2014-11-12,1164.04,1170.0,1157.15,1162.31,71623
2014-11-13,1161.68,1167.96,1153.79,1162.02,72072
2014-11-14,1162.36,1193.45,1146.72,1188.33,91906
2014-11-17,1184.7,1194.06,1181.22,1186.13,88995
2014-11-18,1186.59,1204.52,1183.23,1197.11,69725
2014-11-19,1195.79,1202.08,1174.94,1182.78,103255
2014-11-20,1182.28,1196.96,1176.65,1193.41,92150
2014-11-21,1192.95,1207.63,1186.71,1201.13,85954
2014-11-24,1201.54,1204.08,1192.62,1196.81,56866
2014-11-25,1198.0,1202.82,1190.22,1200.72,70479
2014-11-26,1201.4,1201.53,1192.82,1197.56,45665
2014-11-27,1197.05,1199.47,1185.49,1190.62,49330
2014-11-28,1188.92,1190.64,1165.06,1165.88,68177
2014-12-01,1158.49,1220.8,1141.74,1210.8,138509
2014-12-02,1211.04,1212.51,1191.85,1198.5,104111
2014-12-03,1197.07,1214.96,1194.22,1209.47,66233
2014-12-04,1208.55,1213.28,1201.17,1205.45,64223
2014-12-05,1204.78,1207.37,1186.15,1191.87,63803
2014-12-08,1187.34,1208.71,1186.96,1203.22,53036
2014-12-09,1203.03,1238.09,1199.26,1230.62,92301
2014-12-10,1235.6,1238.25,1224.62,1226.72,145586
2014-12-11,1226.11,1232.72,1215.88,1227.57,173327
2014-12-12,1227.21,1228.08,1214.29,1222.36,155771
2014-12-15,1221.51,1224.03,1190.46,1192.14,90298
2014-12-16,1193.08,1223.34,1187.34,1196.3,116306
2014-12-17,1195.53,1202.81,1183.4,1188.83,92997
2014-12-18,1188.8,1213.69,1188.66,1197.92,72089
2014-12-19,1197.88,1201.15,1193.39,1195.19,61040
2014-12-22,1194.02,1203.21,1170.48,1175.5,58005
2014-12-23,1176.58,1184.77,1172.47,1175.75,76141
